Name,Code,Sector,Industry,Price,Change%,Volume,MCap.(M)
KOBAY,6971,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.16,1.8,2931.0,378.37
KPSCB,9121,Industrial Products & Services,Wood & Wood Products,0.47,2.2,134.0,76.43
FIMACOR,3107,Industrial Products & Services,Industrial Services,1.66,0.0,137.0,407.13
AZRB,7078,Construction,Construction,0.19,0.0,7513.0,124.97
SIMEPROP,5288,Property,Property,1.34,3.1,256883.0,9113.12
MAG,0095,Consumer Products & Services,Food & Beverages,0.18,0.0,39098.0,342.18
NCT,0056,Property,Property,0.47,0.0,2602.0,885.23
KTI,0308,Property,Property,0.385,1.3,7784.0,308.0
SAB,5134,Industrial Products & Services,Chemicals,2.89,0.3,28.0,395.74
BJCORP,3395,Industrial Products & Services,Diversified Industrials,0.29,0.0,34632.0,1729.14
SUNLOGY,0345,Construction,Construction,0.25,-2.0,28252.0,175.0
MALAKOF,5264,Utilities,Electricity,0.82,0.0,37846.0,4100.0
HHRG,0175,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.095,5.6,11275.0,91.34
SJC,9431,Telecommunications & Media,Media,0.31,0.0,140.0,66.2
SSF,0287,Consumer Products & Services,Retailers,0.395,1.3,47429.0,316.0
MALPAC,4936,Plantation,Plantation,0.795,0.0,0.0,59.63
CHGP,7187,Transportation & Logistics,Transportation Equipment,2.1,-0.5,373.0,1388.3
HWATAI,8478,Consumer Products & Services,Food & Beverages,0.47,0.0,80.0,35.17
PPB,4065,Consumer Products & Services,Food & Beverages,11.04,2.6,6110.0,15705.49
MIKROMB,0112,Technology,Technology Equipment,0.185,2.8,74.0,223.54
WEGMANS,0197,Consumer Products & Services,Houshold Goods,0.16,0.0,339.0,88.01
PLENITU,5075,Property,Property,1.42,0.0,383.0,541.78
FGV,5222,Plantation,Plantation,1.13,0.9,2813.0,4122.41
EITA,5208,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.655,2.3,160.0,197.69
DAY3,0281,Consumer Products & Services,Consumer Services,0.265,1.9,1036.0,127.2
VELOCITY,7165,Industrial Products & Services,Building Materials,0.075,-6.2,6340.0,103.61
RESINTC,7232,Industrial Products & Services,Building Materials,0.64,1.6,1084.0,125.27
MFLOUR,3662,Consumer Products & Services,Food & Beverages,0.485,2.1,13901.0,600.99
AXIATA,6888,Telecommunications & Media,Telecommunications Service Providers,1.91,-1.0,43965.0,17539.15
SDCG,0321,Industrial Products & Services,Industrial Services,0.53,-0.9,135716.0,224.63
AFFIN,5185,Financial Services,Banking,2.77,-0.7,11804.0,6649.35
ANEKA,0226,Construction,Construction,0.135,-3.6,2665.0,93.61
HCK,7105,Property,Property,2.13,-0.5,3742.0,1308.42
SEG,9792,Consumer Products & Services,Consumer Services,0.625,0.8,15187.0,791.09
UMSNGB,7227,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.9,-6.3,140.0,72.0
D&O,7204,Technology,Semiconductors,1.27,4.1,29304.0,1574.14
CARLORINO,0335,Consumer Products & Services,Personal Goods,0.165,0.0,6253.0,161.29
SPSETIA,8664,Property,Property,1.25,-0.8,49851.0,6253.26
GMUTUAL,9962,Property,Property,0.26,0.0,0.0,97.66
BKAWAN,1899,Plantation,Plantation,19.6,0.5,5.0,7830.9
3REN,0328,Technology,Semiconductors,0.235,0.0,20779.0,152.75
SUCCESS,7207,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.615,2.5,1974.0,155.69
ACO,0218,Industrial Products & Services,Industrial Services,0.215,10.3,17621.0,74.68
CYBERE,5166,Consumer Products & Services,Consumer Services,0.925,0.0,288.0,157.64
KLK,2445,Plantation,Plantation,20.86,1.3,6315.0,23283.95
MBSB,1171,Financial Services,Other Financials,0.725,1.4,69329.0,5961.18
XL,7121,Consumer Products & Services,Consumer Services,0.52,0.0,42500.0,230.05
EPMB,7773,Industrial Products & Services,Auto Parts,0.445,2.3,798.0,127.43
PLINTAS,5320,Business Trust,Business Trust,0.955,0.0,0.0,1050.5
SENDAI,5205,Construction,Construction,0.455,0.0,15874.0,355.4
SUPREME,0330,Consumer Products & Services,Consumer Services,0.2,0.0,3527.0,86.0
COSMOS,0261,Industrial Products & Services,Industrial Services,0.335,-1.5,250.0,85.93
ALRICH,0079,Technology,Software,0.025,0.0,7583.0,27.84
ASIAPAC,4057,Property,Property,0.095,5.6,9919.0,141.44
HTPADU,5028,Technology,Digital Services,2.7,-0.4,3738.0,300.64
PTARAS,9598,Construction,Construction,1.43,-2.1,50.0,237.19
MKH,6114,Property,Property,1.07,0.9,1201.0,627.61
SALCON,8567,Utilities,"Gas, Water & Multi-Utilities",0.275,0.0,897.0,284.75
UWC,5292,Technology,Semiconductors,2.2,-2.7,18330.0,2424.46
M&A,7082,Financial Services,Other Financials,0.28,5.7,2297.0,561.11
VOLCANO,0232,Industrial Products & Services,Industrial Services,0.725,5.8,40.0,131.68
TANCO,2429,Property,Property,1.81,0.0,135249.0,3989.99
GAMUDA,5398,Construction,Construction,4.24,3.4,155424.0,24184.43
MYNEWS,5275,Consumer Products & Services,Retailers,0.64,6.7,7054.0,480.23
SMISCOR,7132,Industrial Products & Services,Auto Parts,0.7,0.0,100.0,31.36
DPIH,0205,Consumer Products & Services,Houshold Goods,0.11,4.8,1200.0,80.31
METROD,6149,Industrial Products & Services,Metals,1.31,-0.8,410.0,157.2
SHH,7412,Consumer Products & Services,Houshold Goods,1.22,0.0,0.0,121.99
PMBTECH,7172,Industrial Products & Services,Metals,1.6,4.6,976.0,3029.77
GUOCO,1503,Property,Property,0.615,-2.4,3637.0,430.78
WINSTAR,0336,Industrial Products & Services,Metals,0.46,3.4,25459.0,133.4
CMSB,2852,Industrial Products & Services,Building Materials,1.03,3.0,13905.0,1107.09
CITAGLB,7245,Industrial Products & Services,Metals,0.79,-1.2,1156.0,336.13
SHANG,5517,Consumer Products & Services,"Travel, Leisure & Hospitality",1.81,1.7,1752.0,796.4
HHHCORP,0160,Industrial Products & Services,Industrial Services,0.12,0.0,0.0,47.9
UMS,7137,Industrial Products & Services,"Industrial Materials, Components & Equipment",2.04,0.0,125.0,83.01
UOAREIT,5110,Real Estate Investment Trusts,Real Estate Investment Trusts,0.87,-0.6,811.0,587.77
CSCSTEL,5094,Industrial Products & Services,Metals,1.12,0.0,812.0,425.6
FLEXI,0231,Industrial Products & Services,Industrial Services,0.15,3.4,341.0,44.95
JAKS,4723,Construction,Construction,0.1,5.3,80009.0,262.63
KLUANG,2453,Plantation,Plantation,5.7,3.6,17.0,360.08
INSAS,3379,Financial Services,Other Financials,0.845,1.2,13096.0,585.96
PLABS,0171,Consumer Products & Services,Agricultural Products,0.18,0.0,1847.0,49.54
RTECH,0342,Consumer Products & Services,Consumer Services,0.215,2.4,47999.0,43.53
BWYS,0313,Industrial Products & Services,Metals,0.195,0.0,2416.0,199.92
KNUSFOR,5035,Industrial Products & Services,Industrial Services,0.745,0.0,0.0,74.24
GTRONIC,7022,Technology,Semiconductors,0.365,2.8,41626.0,246.52
AMFIRST,5120,Real Estate Investment Trusts,Real Estate Investment Trusts,0.29,0.0,6787.0,199.06
TEXCHEM,8702,Industrial Products & Services,Diversified Industrials,0.795,0.6,2501.0,100.47
BENALEC,5190,Construction,Construction,0.095,0.0,10250.0,98.0
CORAZA,0240,Industrial Products & Services,Industrial Engineering,0.49,7.7,20998.0,242.16
KYM,8362,Industrial Products & Services,Packaging Materials,0.33,0.0,0.0,50.36
BESHOM,7668,Consumer Products & Services,Retailers,0.77,0.7,446.0,231.08
HEKTAR,5121,Real Estate Investment Trusts,Real Estate Investment Trusts,0.51,3.0,7369.0,361.74
KOSSAN,7153,Health Care,Health Care Equipment & Services,1.8,0.6,48870.0,4604.17
LIIHEN,7089,Consumer Products & Services,Houshold Goods,0.58,0.9,7236.0,313.2
EDGENTA,1368,Industrial Products & Services,Industrial Services,0.795,2.6,2818.0,661.14
MYCRON,5087,Industrial Products & Services,Metals,0.35,29.6,2.0,114.47
KAREX,5247,Consumer Products & Services,Personal Goods,0.8,1.3,11913.0,842.77
MISC,3816,Transportation & Logistics,Transportation & Logistics Services,7.25,0.1,22189.0,32362.5
TTVHB,0272,Technology,Semiconductors,0.385,4.1,65439.0,184.65
YONGTAI,7066,Property,Property,0.15,-3.2,1959.0,64.31
OFB,0312,Consumer Products & Services,Food & Beverages,0.31,0.0,610.0,65.15
SUNSURIA,3743,Property,Property,0.41,-2.4,770.0,367.33
MAYU,7099,Industrial Products & Services,Metals,0.225,2.3,701.0,108.56
SUNZEN,0148,Consumer Products & Services,Agricultural Products,0.3,0.0,21231.0,242.44
MELATI,5129,Construction,Construction,0.525,0.0,0.0,63.0
SHCHAN,4316,Plantation,Plantation,0.24,0.0,767.0,72.93
BRIGHT,9938,Industrial Products & Services,Packaging Materials,0.165,0.0,0.0,33.88
PCHEM,5183,Industrial Products & Services,Chemicals,3.77,3.3,53467.0,30160.0
TEKSENG,7200,Consumer Products & Services,Houshold Goods,0.245,-3.9,5742.0,88.36
TURIYA,4359,Technology,Semiconductors,0.25,0.0,701.0,57.18
JAG,0024,Industrial Products & Services,Industrial Services,0.25,0.0,33736.0,188.56
SURIA,6521,Transportation & Logistics,Transportation & Logistics Services,1.54,7.7,474.0,532.56
LBICAP,8494,Property,Property,0.435,0.0,0.0,49.99
MALTON,6181,Property,Property,0.385,0.0,1031.0,220.89
HARNLEN,7501,Plantation,Plantation,0.41,2.5,1761.0,258.91
